level,pos,id,type,char,name,freq,grade,strokes,parts,source
1,0,k:一,kanji,一,one,9,1,1,,override
1,1,k:人,kanji,人,person,4,1,2,,override
1,2,k:大,kanji,大,big,5,1,3,,override
1,3,k:日,kanji,日,day,1,1,4,,override
1,4,k:月,kanji,月,month,3,1,4,,override
1,5,r:卜,radical,卜,divining rod,,,2,,radical
1,6,k:上,kanji,上,above,17,1,3,一 卜,override
1,7,k:口,kanji,口,mouth,182,1,3,,override
1,8,r:｜,radical,｜,stick,,,1,,radical
1,9,k:中,kanji,中,middle,10,1,4,口 ｜,override
1,10,k:木,kanji,木,tree,181,1,4,,override
1,11,k:本,kanji,本,book,6,1,5,一 木,override
1,12,k:山,kanji,山,mountain,46,1,3,,override
1,13,r:凵,radical,凵,pit,,,2,,radical
1,14,k:出,kanji,出,exit,8,1,5,山 凵,override
1,15,k:子,kanji,子,child,25,1,3,,override
1,16,k:干,kanji,干,dry,1359,6,3,,auto
1,17,r:乞,radical,𠂉,hairpin,,,2,,radical
1,18,k:年,kanji,年,year,2,1,6,𠂉 干,override
1,19,k:手,kanji,手,hand,28,1,4,,override
1,20,k:生,kanji,生,life,21,1,5,,override
1,21,k:入,kanji,入,enter,54,1,2,,override
1,22,k:下,kanji,下,below,52,1,3,上 ｜,override
1,23,k:刀,kanji,刀,sword,1081,2,2,,auto
1,24,r:ハ,radical,ハ,fins,,,2,,radical
1,25,k:分,kanji,分,part,26,2,4,刀 ハ,override
1,26,k:行,kanji,行,go,11,2,6,,override
1,27,r:个,radical,𠆢,hat,,,2,,radical
1,28,r:冖,radical,冖,forehead,,,2,,radical
1,29,r:厶,radical,厶,cocoon,,,2,,radical
2,0,r:尚,radical,⺌,sparkle,,,3,,radical
2,1,k:会,kanji,会,meet,14,2,6,𠆢 厶,override
2,2,k:学,kanji,学,study,18,1,8,⺌ 冖 子,override
2,3,k:見,kanji,見,see,30,1,7,,override
2,4,k:立,kanji,立,stand,49,1,5,,override
2,5,k:女,kanji,女,woman,66,1,3,,override
2,6,k:小,kanji,小,small,67,1,3,,override
2,7,k:目,kanji,目,eye,56,1,5,,override
2,8,k:王,kanji,王,king,293,1,4,,override
2,9,r:丶,radical,丶,drop,,,1,,radical
2,10,k:玉,kanji,玉,jewel,615,1,5,王 丶,override
2,11,r:囗,radical,囗,fence,,,3,,radical
2,12,k:国,kanji,国,country,15,2,8,囗 玉,override
2,13,k:田,kanji,田,rice field,41,1,5,,override
2,14,k:土,kanji,土,soil,352,1,3,,auto
2,15,k:夕,kanji,夕,evening,844,1,3,,override
2,16,r:礼,radical,礻,altar,,,4,,radical
2,17,k:名,kanji,名,name,57,1,6,口 夕,override
2,18,k:社,kanji,社,company,29,2,7,礻 土,override
2,19,k:二,kanji,二,two,101,1,2,,override
2,20,r:也,radical,也,scorpion,,,3,,radical
2,21,k:三,kanji,三,three,86,1,3,一 二,override
2,22,k:地,kanji,地,earth,22,2,6,土 也,override
2,23,r:冂,radical,冂,hood,,,2,,radical
2,24,k:向,kanji,向,facing,219,3,6,口 冂,override
2,25,k:同,kanji,同,same,23,2,6,一 向,override
2,26,k:川,kanji,川,river,87,1,3,,override
2,27,k:寸,kanji,寸,measurement,1336,6,3,,auto
2,28,k:寺,kanji,寺,temple,511,2,6,土 寸,override
2,29,k:方,kanji,方,direction,40,2,4,,override
3,0,k:時,kanji,時,time,12,2,10,日 寺,override
3,1,k:巾,kanji,巾,towel,1896,8,3,,auto
3,2,r:亠,radical,亠,lid,,,2,,radical
3,3,k:市,kanji,市,city,33,2,5,亠 巾,override
3,4,r:夂,radical,夂,trudge,,,3,,radical
3,5,r:幺,radical,幺,tiny,,,3,,radical
3,6,r:彳,radical,彳,stroll,,,3,,radical
3,7,k:後,kanji,後,behind,24,2,9,彳 幺 夂,override
3,8,k:東,kanji,東,east,35,2,8,木 日,override
3,9,k:今,kanji,今,now,92,2,4,𠆢 一,override
3,10,k:合,kanji,合,suit,32,2,6,今 口,override
3,11,k:長,kanji,長,long,36,2,8,,override
3,12,r:ノ,radical,ノ,slide,,,1,,radical
3,13,r:气,radical,气,vapor,,,4,,radical
3,14,k:気,kanji,気,spirit,74,1,6,气 ノ 丶,override
3,15,k:自,kanji,自,self,38,2,6,,override
3,16,r:刈,radical,刂,knife,,,2,,radical
3,17,k:前,kanji,前,front,37,2,9,月 刂,override
3,18,k:斤,kanji,斤,axe,2124,8,4,,auto
3,19,k:新,kanji,新,new,7,2,13,立 木 斤,override
3,20,r:亅,radical,亅,hook,,,1,,radical
3,21,k:了,kanji,了,complete,587,8,2,一 亅,auto
3,22,k:可,kanji,可,can,278,5,5,口 了,override
3,23,r:ヨ,radical,ヨ,broom,,,3,,radical
3,24,k:事,kanji,事,matter,13,3,8,可 ヨ,override
3,25,k:万,kanji,万,ten thousand,214,2,3,一 ｜ ノ,override
3,26,r:化,radical,亻,leader,,,2,,radical
3,27,k:作,kanji,作,make,42,2,7,亻 万,override
3,28,k:米,kanji,米,rice,377,2,6,,auto
3,29,k:来,kanji,来,come,64,2,7,木 米,override
4,0,k:用,kanji,用,task,61,2,5,,override
4,1,r:老,radical,耂,elder,,,4,,radical
4,2,k:者,kanji,者,someone,19,3,8,耂 日,override
