kanji,keyword,alt
日,day,sun;Japan
年,year,
月,month,moon
人,person,people
大,big,large;great
本,book,origin;main;true
新,new,
出,exit,leave;go out
一,one,
中,middle,inside;center;in
行,go,going;conduct
時,time,hour
事,matter,thing;affair;fact
会,meet,meeting;association;society
国,country,nation
聞,hear,listen;ask
上,above,up;top
学,study,learning;science
者,someone,person
発,departure,emit;discharge;start
生,life,birth;raw;live
地,earth,ground;land
同,same,
後,behind,after;later;back
子,child,kid
分,part,minute;understand;divide
部,section,department;part
手,hand,
社,company,shrine;society
見,see,look
間,interval,between;space
合,suit,fit;join;combine
市,city,market
場,location,place;scene
東,east,
長,long,chief;leader
前,front,before;in front
自,self,oneself
通,pass through,traffic;commute
方,direction,way;person
田,rice field,rice paddy;field
作,make,build;prepare
選,choose,elect;select
開,open,unfold
高,tall,expensive;high
山,mountain,
報,report,news;reward
道,road,way;path;street
立,stand,stand up;rise
定,determine,fix;establish;decide
関,connection,barrier;gate;related
下,below,down;under
代,substitute,generation;fee;era
入,enter,insert
第,ordinal,number;grade
目,eye,
名,name,
内,inside,within
県,prefecture,
戦,war,battle;fight
用,task,use;utilize;business
所,place,
明,bright,light;clear
来,come,next
連,take along,connect;lead;party
女,woman,female
小,small,little
表,surface,express;table;front
的,target,bull's eye;-like;-al
対,versus,opposite;against;pair
業,business,vocation;industry
回,times,turn;revolve;round
成,become,turn into;achieve
気,spirit,energy;mood;air
家,house,home;family
経,longitude,sutra;pass through;manage
売,sell,
京,capital,
当,appropriate,hit;this;correct
全,whole,all;entire
現,present,appear;current;actual
野,field,plains;wild
物,thing,object
動,move,motion
最,most,utmost;extremely
三,three,
川,river,stream
朝,morning,
度,degrees,occurrence;time;extent
主,master,lord;main;owner
性,gender,nature;sex;-ness
今,now,
以,by means of,from;since;because
島,island,
体,body,
外,outside,
員,member,employee;staff
記,write down,scribe;record;chronicle
北,north,
理,reason,logic;principle
二,two,
文,sentence,writing;literature;letter
信,believe,trust;faith
言,say,word
実,truth,reality;fruit;real
公,public,official
知,know,
車,car,vehicle;wheel
勝,win,victory
死,death,die
校,school,
初,first,beginning
法,method,law
取,take,
世,generation,world;society
線,line,wire
決,decide,
平,flat,even;peace;level
金,gold,money;metal
思,think,
民,people,nation;citizens
機,machine,mechanism;opportunity
不,not,un-;non-
力,power,strength;force
議,deliberation,discussion;consult
送,send,
台,pedestal,stand;platform
放,release,set free;let go
情,emotion,feelings
和,harmony,Japan;peace;Japanese style
原,original,meadow;plain;field
号,issue,number;sign
神,god,spirit;deity
書,write,
氏,clan,Mr.;family name
相,mutual,minister;phase;each other
化,transform,change;-ization
男,man,male
風,wind,style
在,exist,located in
数,number,count
教,teach,
話,talk,story;speak;conversation
語,language,word;speech
町,town,
設,establish,set up;prepare
産,produce,give birth;products
西,west,
彼,he,that;him
持,hold,have
心,heart,mind
式,ceremony,style;formula;type
馬,horse,
村,village,
読,read,
都,metropolis,capital
受,receive,accept
多,many,much;a lot
水,water,
正,correct,justice;right
政,politics,government
位,rank,position
画,drawing,picture;stroke;plan
何,what,how many
私,I,private;me
意,idea,mind;meaning;intention
元,origin,former;source
務,duty,task
期,period,term
共,together,both;neither
近,near,close
区,ward,district
身,somebody,oneself;body
結,tie,bind;join;conclude
典,code,ceremony;law;classic
無,nothing,none;without;-less
加,add,addition
運,carry,luck;fortune;transport
組,group,team;assemble;association
木,tree,wood
口,mouth,
点,point,spot;mark
要,need,main point;essential;require
面,face,surface;mask;aspect
南,south,
駅,station,
十,ten,
約,promise,approximately;contract
品,goods,article;quality;item
番,turn,number;order
毎,every,
電,electricity,electric
院,institution,hospital;temple
次,next,order
演,perform,act
付,attach,
続,continue,
屋,shop,roof;house
活,lively,living;active
使,use,messenger;employ
軍,army,military
能,ability,talent;skill
少,few,little;a little
特,special,
警,admonish,police;warn
調,tune,investigate;tone;check
容,contain,form;appearance;looks
得,acquire,gain;profit;obtain
止,stop,
球,ball,sphere
優,superior,gentle;excellent;actor
際,occasion,edge;verge
万,ten thousand,
空,sky,empty;air
指,finger,point to
制,system,control;rule
歳,years old,age;year-end
向,facing,yonder;beyond;toward
置,put,place;set
治,reign,govern;cure;heal
様,manner,way;situation;Mr.
団,association,group;body;organization
先,ahead,previous;future;tip
州,state,province
郎,son,counter for sons
界,world,boundary
天,heaven,sky
解,solve,untie;explain;unravel
重,heavy,pile up;important
判,judgement,seal;stamp
等,equal,etc.;class;and so on
引,pull,draw
安,relax,cheap;peaceful;safe
認,acknowledge,recognize
別,separate,different;another
有,have,possess;exist
参,participate,go;visit;attend
疑,doubt,suspect
利,profit,advantage;benefit
予,beforehand,in advance;myself
変,change,strange;unusual;odd
保,preserve,protect;maintain;keep
役,role,duty;service;office
阪,heights,slope;Osaka
進,advance,progress
件,affair,case;item
考,consider,think about
始,begin,start
党,party,faction
問,question,ask;problem
交,mingle,intersect;exchange;mix
任,entrust,responsibility;duty
権,authority,rights;power
試,test,try;experiment
集,gather,collect
曲,bend,music;melody;curve
総,overall,general;whole
美,beauty,beautiful
終,end,finish
賞,prize,award
投,throw,
士,samurai,gentleman;scholar
流,flow,current;style
形,shape,form
井,well,
午,noon,
査,investigate,inspect
伝,transmit,convey;legend
統,unify,overall;govern;lineage
太,fat,thick;plump
計,measure,plan;total
他,other,another
店,store,shop
岡,knoll,hill;mount
府,government office,urban prefecture
録,record,
可,can,possible;approve
石,stone,
強,strong,
再,again,
両,both,two;old coin
注,pour,note;attention
直,straight,fix;honest;direct
感,feeling,sense;sensation
路,route,path
支,support,branch
火,fire,
工,construction,craft;work
広,wide,broad
転,revolve,turn around;change
競,compete,emulate
王,king,
円,circle,yen;round
挙,raise,plan;nominate
楽,comfort,music;fun;ease
果,fruit,result
害,harm,injury
宮,palace,shrine;princess
音,sound,noise
末,last,end;tip;powder
存,suppose,exist;be aware of
想,concept,idea;think
頃,about,approximate time;toward
含,include,contain
揚,hoist,fry;raise
営,manage,camp;run a business
陣,camp,battle array
載,load,publish;ride
歌,song,sing
唄,ballad,song
謡,chant,song;noh chant
配,distribute,deliver;arrange
頒,dispense,distribute
捕,catch,capture
捉,seize,catch
施,carry out,give;alms
呉,give,do something for
走,run,
奔,dash,run
紙,paper,
箋,slip,paper;label
非,injustice,not;un-;mistake;negative
未,not yet,un-;still
酒,alcohol,sake;liquor
酎,distilled sake,sake
恐,fear,dread
慄,shudder,fear
惧,dread,fear
畏,awe,fear;reverence
虞,apprehension,fear;concern
背,back,stature;behind
脊,spine,stature
夕,evening,
暮,dusk,evening;live
遊,play,
玩,toy,play
砂,sand,
沙,grit,sand
摘,pluck,pick;pinch
挟,pinch,squeeze;insert
悲,sad,grieve
戚,relative,grieve
耳,ear,
穂,ear of grain,head of grain;ear
没,sink,drown;die
溺,drown,indulge
圏,range,sphere;circle
璧,jade disc,jewel;sphere
丘,hill,
阜,hillock,mound;hill
旦,dawn,daybreak
暁,daybreak,dawn
凡,mediocre,commonplace;ordinary
庸,ordinary,commonplace
慢,arrogant,ridicule;laziness
嘲,ridicule,mock
吐,spit,vomit
串,skewer,spit
涼,cool,refreshing
爽,refreshing,bracing
鉢,bowl,pot
丼,rice bowl,bowl
蓋,cover,lid
蔽,conceal,cover
枯,wither,die
萎,wilt,wither
昧,obscure,dark
冥,dark,
曖,unclear,dark
煮,boil,cook
湧,gush,boil;well up
喉,throat,
咽,gullet,throat
潰,crush,smash
挫,sprain,crush
賄,bribe,
賂,payoff,bribe
罵,abuse,curse
弊,evil,abuse;our
妬,jealous,envy
嫉,envy,jealous
守,protect,guard;obey
護,safeguard,protect
防,prevent,defend
衛,defense,protect
混,mix,blend
枝,branch,bough
絵,picture,painting
図,diagram,map;plan
責,blame,responsibility
真,true,reality;genuine
齢,age,
打,hit,strike
撃,attack,strike
殴,assault,hit
印,seal,stamp;mark
包,wrap,pack
抱,embrace,hug
冠,crown,
帽,cap,hat
氷,ice,
炎,blaze,flame;inflammation
病,sickness,ill;disease
獣,beast,animal
張,stretch,
伸,extend,stretch
板,board,plank
棒,pole,rod;stick
滴,drip,drop
舞,dance,
鎌,sickle,
髪,hair,
毛,fur,hair
芽,bud,sprout
筆,writing brush,brush
穀,cereal,grain
粒,granule,grain;drop
