symbol,glyph,name,alt,strokes,note,mnemonic
汁,氵,tsunami,water drops;water side,3,Left-side form of 水 (water).,"Three drops of water rushing in from the left. It looks small, but it is the front edge of a tsunami."
化,亻,leader,person side,2,Left-side form of 人 (person).,"A person standing tall on the left, leading everyone who follows. The leader always stands at the front (left) of the kanji."
扎,扌,fingers,hand side,3,Left-side form of 手 (hand).,"A hand seen from the side with its fingers spread out. Whenever you see it, the kanji is about doing something with your fingers."
艾,艹,flowers,grass crown;plants,3,Top form of 艸 (grass).,"Two little sprouts poking up through a line of soil. Give them a season and they become flowers."
込,辶,path,road;walking,3,The walking radical (shinnyou).,"A winding path with a splash of dust kicked up at the end. Anything on this path is going somewhere."
冖,冖,forehead,cover;crown,2,,"A flat cover sitting on top of things, like a forehead sitting above a face."
宀,宀,roof,house top,3,,"A roof with a little chimney on top. Whatever sits under it is indoors."
夂,夂,trudge,go slowly;winter legs,3,,"A figure with heavy legs, trudging slowly through deep snow."
勹,勹,cradle,wrap;enclosure,2,,"A pair of arms curling round to cradle something small against the chest."
儿,儿,legs,,2,,"Two legs, walking. Whatever sits above them is being carried around."
尸,尸,flag,corpse,3,,"A flag hanging from a pole. In old kanji it was a lying body, but a flag is easier to picture."
刈,刂,knife,sword side,2,Right-side form of 刀 (sword).,"A knife standing on its point at the right edge of the kanji, ready to cut."
阡,阝,mound,hill side;left mound,3,Left-side form of 阜 (mound). Same glyph as borough but on the left.,"A stack of earth on the LEFT: a mound of dirt piled up beside the kanji."
邦,阝,borough,village side;right mound,3,Right-side form of 邑 (village). Same glyph as mound but on the right.,"The same stack on the RIGHT is a borough: a crowded little district of houses."
隹,隹,turkey,old bird,8,,"A fat, stubby-tailed bird with a big body: a turkey."
厶,厶,cocoon,private;myself,2,,"A little cocoon, closed up tight, keeping whatever is inside private."
ヨ,ヨ,broom,snout,3,,"A broom head with three stiff bristles, seen from the side."
尚,⺌,sparkle,small top,3,Top form of 小 (small).,"Three sparkles hovering above the kanji."
禾,禾,grain,rice plant;wheat,5,,"A rice plant whose head droops under the weight of its grain."
忙,忄,heartbeat,heart side;emotion,3,Left-side form of 心 (heart).,"A heart squeezed into the left side, still beating. Kanji with it are about emotions."
攵,攵,strike,tap;action,4,,"A hand holding a stick raised to strike. It always appears on the right, doing something to the left half."
ノ,ノ,slide,,1,,"A playground slide, sloping down to the left."
